,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
3668,2025-04-11,000985,中证全指,CSI All Share,601888,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai Stock Exchange
3669,2025-04-11,000985,中证全指,CSI All Share,601890,亚星锚链,"Asian Staranchor Chain Co.,Ltd.Jiangsu",上海证券交易所,Shanghai Stock Exchange
3670,2025-04-11,000985,中证全指,CSI All Share,601898,中煤能源,China Coal Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange
3671,2025-04-11,000985,中证全指,CSI All Share,601899,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai Stock Exchange
3672,2025-04-11,000985,中证全指,CSI All Share,601900,南方传媒,Southern Publishing and Media Company Limited,上海证券交易所,Shanghai Stock Exchange
3673,2025-04-11,000985,中证全指,CSI All Share,601901,方正证券,Founder Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange
3674,2025-04-11,000985,中证全指,CSI All Share,601908,京运通,Beijing Jingyuntong Technology Co Ltd,上海证券交易所,Shanghai Stock Exchange
3675,2025-04-11,000985,中证全指,CSI All Share,601916,浙商银行,"CHINA ZHESHANG BANK CO.,LTD",上海证券交易所,Shanghai Stock Exchange
3676,2025-04-11,000985,中证全指,CSI All Share,601918,新集能源,SDIC Xinji Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange
3677,2025-04-11,000985,中证全指,CSI All Share,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3678,2025-04-11,000985,中证全指,CSI All Share,601921,浙版传媒,"Zhejiang Publishing & Media Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3679,2025-04-11,000985,中证全指,CSI All Share,601928,凤凰传媒,Jiangsu Phoenix Publishing & Media Co Ltd,上海证券交易所,Shanghai Stock Exchange
