code,close,adjfactor,tradestatus,rn
sz.002835,17.18,2.1065390423064163,1,1
sz.002836,8.55,3.3624631054381755,1,1
sz.002837,31.61,8.529377613373207,1,1
sz.002838,15.61,5.063069552627389,1,1
sz.002839,4.2,1.4966531694565754,1,1
sz.002840,10.72,2.433123611388,1,1
sz.002841,33.61,1.7533153355424267,1,1
sz.002842,6.75,2.7999895626281255,1,1
sz.002843,24.87,1.7562682120359572,1,1
sz.002846,9.16,2.643348083647137,1,1
sz.002847,89.8,2.312470403557172,1,1
sz.002849,16.89,2.157810400640338,1,1
sz.002850,131.54,1.5744085867711834,1,1
sz.002851,43.26,2.3336175487628643,1,1
sz.002852,9.7,3.203368194046571,1,1
sz.002858,11.74,2.012095016291129,1,1
sz.002859,18.08,4.237880731185841,1,1
sz.002860,11.85,3.7837373135076473,1,1
sz.002862,24.25,1.5118856480571043,1,1
sz.002863,4.86,1.7349843409605346,1,1
sz.002864,26.89,1.0359409735727518,1,1
sz.002866,15.32,1.7619133813256185,1,1
sz.002867,13.03,2.9724175031470654,1,1
sz.002870,35.3,1.0424874246966016,1,1
sz.002871,10.01,3.801421360330736,1,1
sz.002873,8.67,3.489404671981431,1,1
sz.002876,24.8,1.8621592652719234,1,1
sz.002877,7.97,2.8177741809328287,1,1
sz.002878,14.46,3.1920116613455907,1,1
sz.002879,14.82,1.5558320215819594,1,1
sz.002880,27.83,2.200417775238971,1,1
sz.002881,49.15,2.241066804217579,1,1
sz.002882,16.38,1.1380392993504957,1,1
sz.002883,10.29,3.024743134946673,1,1
sz.002884,15.77,5.596490685194469,1,1
sz.002885,13.0,3.198849359005394,1,1
sz.002886,19.38,2.5917662233235608,1,1
sz.002887,7.39,4.503488409186197,1,1
sz.002889,20.21,2.0130748237526355,1,1
sz.002890,11.78,2.6455192210985095,1,1
sz.002891,56.45,2.633192980807793,1,1
sz.002892,15.56,7.059388714010051,1,1
sz.002893,10.39,1.7500950641407251,1,1
sz.002895,22.61,1.1428860690640765,1,1
sz.002896,91.1,1.7787358015468977,1,1
sz.002897,41.22,1.6491099132520772,1,1
sz.002899,20.1,1.023007345073861,1,1
sz.002901,36.96,1.0697904856602813,1,1
sz.002903,20.81,1.581216542809197,1,1
sz.002905,8.08,2.327139785080278,1,1
sz.002906,31.17,1.0561812091962486,1,1
sz.002907,14.12,1.0234448643814285,1,1
sz.002908,9.41,3.081442413189403,1,1
sz.002911,10.26,2.8819078317606834,1,1
sz.002913,24.84,2.219084648399261,1,1
sz.002915,21.37,2.1942675912354344,1,1
sz.002916,109.02,1.78882463565493,1,1
sz.002917,13.38,2.524587477535933,1,1
sz.002919,15.07,3.4093932850405024,1,1
sz.002920,104.26,1.0532524644213859,1,1
sz.002922,15.38,1.8697444494281137,1,1
sz.002925,15.29,2.0712470811389383,1,1
sz.002926,8.04,1.0555029570072998,1,1
sz.002927,13.25,2.53227406911414,1,1
sz.002928,7.28,2.2945475437136027,1,1
sz.002929,50.2,1.0388316519942256,1,1
sz.002930,9.09,2.0298292078669973,1,1
sz.002931,15.91,2.329266194636121,1,1
sz.002933,34.34,1.0369954654252005,1,1
sz.002936,1.85,1.4086553349868747,1,1
sz.002937,17.35,1.7200117876616041,1,1
sz.002938,28.57,1.1126739409762156,1,1
sz.002939,7.73,1.0869892454759529,1,1
sz.002940,13.37,2.29174833270816,1,1
sz.002942,16.06,1.4299734464678484,1,1
sz.002945,13.81,1.0212946569725634,1,1
sz.002946,16.66,1.0434752917114256,1,1
sz.002947,31.99,1.8015748845281998,1,1
sz.002948,4.54,1.3786064719919042,1,1
sz.002949,13.6,1.1658397455528093,1,1
sz.002950,8.05,1.6491545131465881,1,1
sz.002952,18.25,2.4636833919696346,1,1
sz.002953,10.36,2.459407664668271,1,1
