,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
56,159652,有色50ETF,0.859,0.8609,0.22,0.017,2.02,214751.0,18407659.938,0.841,0.867,0.841,0.842,3.09,4.55,1.0,25.1,105069.0,109682.0,2676908.0,14.54,4125918.0,22.41,-1449010.0,-7.87,-1326009.0,-7.2,-1350899.0,-7.34,-713.0,0.859,0.862,472320288.0,405723127,405723127,2024-06-28,2024-06-28 15:34:18+08:00
57,159625,绿色电力ETF,1.165,1.1674,0.21,0.023,2.01,161327.0,18616679.7,1.146,1.171,1.137,1.142,2.98,7.16,1.11,-20.21,87249.0,74078.0,2118021.0,11.38,1790284.0,9.62,327737.0,1.76,-1524263.0,-8.19,-593757.0,-3.19,-195.0,1.165,1.167,225313777.0,262490550,262490550,2024-06-28,2024-06-28 15:34:21+08:00
58,159881,有色60ETF,0.963,0.9642,0.12,0.019,2.01,269191.0,25910572.965,0.941,0.971,0.941,0.944,3.18,16.29,1.44,-46.75,139614.0,129577.0,1051369.0,4.06,3415630.0,13.18,-2364261.0,-9.12,-630060.0,-2.43,-421309.0,-1.63,-40.0,0.963,0.966,165249583.0,159135348,159135348,2024-06-28,2024-06-28 15:34:18+08:00
59,561760,油气ETF博时,0.968,0.9715,0.36,0.019,2.0,17296.0,1673405.0,0.949,0.974,0.949,0.949,2.63,8.16,0.76,-4.74,5737.0,11559.0,155911.0,9.32,0.0,0.0,155911.0,9.32,-101382.0,-6.06,-54529.0,-3.26,-5.0,0.968,0.971,21195000.0,20516760,20516760,2024-06-28,2024-06-28 16:11:51+08:00
60,516650,有色金属ETF基金,0.97,0.9707,0.07,0.019,2.0,49942.0,4824275.0,0.951,0.977,0.951,0.951,2.73,4.4,1.58,16.5,23556.0,26386.0,1305731.0,27.07,0.0,0.0,1305731.0,27.07,145742.0,3.02,-1451473.0,-30.09,-100.0,0.97,0.971,113464800.0,110060856,110060856,2024-06-28,2024-06-28 16:11:58+08:00
61,561330,矿业ETF,0.93,0.9323,0.25,0.018,1.97,71918.0,6684223.0,0.91,0.939,0.91,0.912,3.18,12.68,0.78,-9.83,28304.0,43614.0,172104.0,2.57,0.0,0.0,172104.0,2.57,-18242.0,-0.27,-153863.0,-2.3,-30.0,0.93,0.931,56696100.0,52727373,52727373,2024-06-28,2024-06-28 16:11:57+08:00
62,159876,有色龙头ETF,1.038,1.0396,0.15,0.02,1.96,49676.0,5153395.4,1.018,1.045,1.018,1.018,2.65,7.36,1.79,-21.76,29590.0,20086.0,801119.0,15.55,-1375807.0,-26.7,2176926.0,42.24,-269548.0,-5.23,-531570.0,-10.31,4.0,1.036,1.038,67488509.0,70053072,70053072,2024-06-28,2024-06-28 15:34:51+08:00
63,512400,有色金属ETF,0.987,0.9875,0.05,0.019,1.96,1493100.0,146892941.0,0.967,0.995,0.967,0.968,2.89,3.43,1.04,-45.92,836436.0,656664.0,30004962.0,20.43,28268306.0,19.24,1736656.0,1.18,-19976912.0,-13.6,-10028050.0,-6.83,11.0,0.986,0.987,4357039104.0,4300397596,4300397596,2024-06-28,2024-06-28 16:11:44+08:00
64,513950,恒生红利ETF,1.042,1.0379,-0.4,0.02,1.96,203909.0,21152031.0,1.024,1.046,1.019,1.022,2.64,5.71,1.07,-47.3,118190.0,85719.0,2572462.0,12.16,994878.0,4.7,1577584.0,7.46,-1855198.0,-8.77,-717263.0,-3.39,501.0,1.041,1.042,357119008.0,372118006,372118006,2024-06-28,2024-06-28 16:11:50+08:00
65,560170,央企科技ETF,0.747,0.7468,-0.03,0.014,1.91,593711.0,44185308.0,0.729,0.752,0.728,0.733,3.27,2.48,1.13,-26.08,328691.0,265020.0,5579856.0,12.63,5876017.0,13.3,-296161.0,-0.67,-4020690.0,-9.1,-1559166.0,-3.53,205.0,0.746,0.747,2390995504.0,1786073641,1786073641,2024-06-28,2024-06-28 16:12:00+08:00
